House_ID,Date,Consumption_kWh,Avg_Temperature_C,Humidity_%,Cost_R$,Occupancy_Status,House_Type
1,2019-01-01,18.17,32.91,42.71,9.09,Occupied,Single Family
1,2019-01-02,59.8,15.65,50.59,29.9,Occupied,Single Family
1,2019-01-03,50.28,25.49,30.49,25.14,Vacant,Townhouse
1,2019-01-04,60.83,20.0,51.93,30.41,Vacant,Apartment
1,2019-01-05,60.51,23.91,32.22,30.25,Occupied,Single Family
1,2019-01-06,52.19,24.7,33.77,26.09,Vacant,Apartment
1,2019-01-07,55.56,24.33,77.45,27.78,Vacant,Single Family
1,2019-01-08,35.5,16.36,80.67,17.75,Vacant,Apartment
1,2019-01-09,72.87,26.81,71.68,36.44,Vacant,Single Family
1,2019-01-10,64.47,25.42,78.96,32.23,Occupied,Apartment
1,2019-01-11,99.97,18.1,74.08,49.98,Vacant,Townhouse
1,2019-01-12,92.06,16.21,60.24,46.03,Occupied,Apartment
1,2019-01-13,73.29,26.69,45.64,36.64,Vacant,Townhouse
1,2019-01-14,34.19,32.55,45.65,17.1,Occupied,Townhouse
1,2019-01-15,40.14,33.4,55.0,20.07,Occupied,Apartment
1,2019-01-16,77.61,18.07,75.0,38.81,Occupied,Single Family
1,2019-01-17,66.54,22.53,64.78,33.27,Vacant,Townhouse
1,2019-01-18,70.33,24.62,78.02,35.17,Vacant,Apartment
1,2019-01-19,83.2,29.22,48.59,41.6,Vacant,Apartment
1,2019-01-20,34.69,32.89,39.62,17.35,Occupied,Apartment
1,2019-01-21,54.99,30.45,54.88,27.5,Vacant,Single Family
1,2019-01-22,42.18,30.7,58.79,21.09,Vacant,Apartment
1,2019-01-23,82.45,20.74,68.29,41.22,Occupied,Single Family
1,2019-01-24,46.32,23.26,56.46,23.16,Vacant,Single Family
1,2019-01-25,25.95,22.24,63.55,12.98,Vacant,Townhouse
1,2019-01-26,55.5,28.42,45.36,27.75,Occupied,Apartment
1,2019-01-27,72.86,16.62,30.63,36.43,Occupied,Apartment
1,2019-01-28,78.5,32.07,40.71,39.25,Occupied,Townhouse
1,2019-01-29,42.19,20.76,45.02,21.1,Occupied,Apartment
1,2019-01-30,22.3,24.09,38.42,11.15,Vacant,Single Family
2,2019-01-01,95.39,34.67,89.09,47.7,Occupied,Apartment
2,2019-01-02,20.22,25.65,72.91,10.11,Vacant,Townhouse
2,2019-01-03,76.91,26.45,43.94,38.46,Occupied,Single Family
2,2019-01-04,58.78,21.59,58.0,29.39,Occupied,Apartment
2,2019-01-05,89.81,16.83,63.09,44.9,Vacant,Single Family
2,2019-01-06,83.95,32.14,63.32,41.98,Vacant,Apartment
2,2019-01-07,37.31,34.47,74.92,18.65,Occupied,Townhouse
2,2019-01-08,48.68,31.75,88.07,24.34,Occupied,Townhouse
2,2019-01-09,41.33,30.7,46.81,20.67,Occupied,Apartment
2,2019-01-10,17.49,19.07,30.36,8.75,Vacant,Apartment
2,2019-01-11,10.42,15.13,39.5,5.21,Occupied,Single Family
2,2019-01-12,46.07,16.25,76.71,23.03,Occupied,Single Family
2,2019-01-13,69.98,18.06,46.22,34.99,Occupied,Townhouse
2,2019-01-14,89.7,21.41,35.52,44.85,Vacant,Apartment
2,2019-01-15,86.33,20.44,44.12,43.17,Vacant,Single Family
2,2019-01-16,30.89,16.31,88.63,15.44,Vacant,Townhouse
2,2019-01-17,24.09,31.37,61.83,12.05,Occupied,Single Family
2,2019-01-18,72.49,15.47,89.31,36.25,Occupied,Apartment
2,2019-01-19,89.19,32.34,41.42,44.59,Vacant,Townhouse
2,2019-01-20,53.79,15.23,58.13,26.89,Vacant,Single Family
2,2019-01-21,39.51,32.85,71.65,19.75,Occupied,Single Family
2,2019-01-22,77.76,28.06,79.17,38.88,Vacant,Townhouse
2,2019-01-23,82.1,29.54,63.12,41.05,Occupied,Single Family
2,2019-01-24,71.1,32.22,47.76,35.55,Vacant,Apartment
2,2019-01-25,83.8,17.47,41.18,41.9,Occupied,Single Family
2,2019-01-26,19.58,20.56,62.87,9.79,Occupied,Single Family
2,2019-01-27,44.2,22.95,89.93,22.1,Occupied,Apartment
2,2019-01-28,68.4,28.28,86.63,34.2,Occupied,Single Family
2,2019-01-29,12.02,29.08,45.44,6.01,Occupied,Apartment
2,2019-01-30,70.34,30.39,61.91,35.17,Vacant,Apartment
3,2019-01-01,98.25,26.1,85.11,49.12,Occupied,Apartment
3,2019-01-02,85.44,19.17,68.84,42.72,Occupied,Townhouse
3,2019-01-03,43.88,19.95,46.89,21.94,Vacant,Apartment
3,2019-01-04,68.97,32.91,47.82,34.49,Occupied,Townhouse
3,2019-01-05,92.3,26.12,56.03,46.15,Occupied,Townhouse
3,2019-01-06,19.15,29.71,86.52,9.57,Vacant,Single Family
3,2019-01-07,78.37,31.63,37.67,39.19,Vacant,Apartment
3,2019-01-08,44.31,22.78,64.73,22.15,Occupied,Apartment
3,2019-01-09,67.42,17.23,89.24,33.71,Occupied,Single Family
3,2019-01-10,46.38,26.78,73.52,23.19,Occupied,Apartment
3,2019-01-11,38.16,18.37,88.23,19.08,Vacant,Single Family
3,2019-01-12,23.57,19.72,35.21,11.78,Occupied,Single Family
3,2019-01-13,77.9,18.97,77.45,38.95,Vacant,Apartment
3,2019-01-14,73.34,33.91,68.89,36.67,Vacant,Apartment
3,2019-01-15,45.53,15.18,57.44,22.76,Occupied,Townhouse
3,2019-01-16,72.09,22.57,76.71,36.05,Vacant,Townhouse
3,2019-01-17,44.16,28.93,48.63,22.08,Occupied,Townhouse
3,2019-01-18,40.2,18.16,30.56,20.1,Vacant,Apartment
3,2019-01-19,55.03,30.53,42.36,27.52,Vacant,Townhouse
3,2019-01-20,15.77,27.03,34.4,7.88,Occupied,Apartment
3,2019-01-21,72.71,24.29,31.08,36.36,Occupied,Single Family
3,2019-01-22,48.6,22.62,89.03,24.3,Occupied,Apartment
3,2019-01-23,38.42,26.39,77.64,19.21,Vacant,Single Family
3,2019-01-24,83.56,15.96,30.89,41.78,Occupied,Single Family
3,2019-01-25,49.51,20.62,40.05,24.75,Vacant,Townhouse
3,2019-01-26,51.88,24.97,74.36,25.94,Vacant,Apartment
3,2019-01-27,19.05,33.18,80.8,9.52,Occupied,Townhouse
3,2019-01-28,19.92,28.61,56.48,9.96,Occupied,Single Family
3,2019-01-29,10.33,21.7,57.9,5.16,Occupied,Apartment
3,2019-01-30,68.09,30.51,33.71,34.05,Occupied,Townhouse
4,2019-01-01,20.05,20.07,55.91,10.03,Occupied,Apartment
4,2019-01-02,93.0,26.29,40.41,46.5,Occupied,Single Family
4,2019-01-03,64.82,20.68,75.79,32.41,Occupied,Single Family
4,2019-01-04,56.87,23.23,61.72,28.44,Occupied,Townhouse
4,2019-01-05,40.25,28.5,48.67,20.12,Vacant,Single Family
4,2019-01-06,54.82,32.06,59.17,27.41,Vacant,Apartment
4,2019-01-07,97.39,32.5,86.78,48.7,Vacant,Apartment
4,2019-01-08,12.09,19.33,37.89,6.05,Vacant,Single Family
4,2019-01-09,11.08,30.0,67.65,5.54,Occupied,Single Family
4,2019-01-10,74.83,17.33,83.11,37.41,Vacant,Single Family
4,2019-01-11,70.44,17.79,79.84,35.22,Occupied,Single Family
